price,balance,btc,action,netBalance
57488,0,1.126764679785162,Buy,64775.4479114894
54123,0,1.126764679785162,Buy,60983.88476401233
48880,55076.25754789872,0,Sell,55076.25754789872
50625,55076.25754789872,0,None,55076.25754789872
46800,55076.25754789872,0,Sell,55076.25754789872
46340,0,1.188525195250296,Buy,55076.25754789871
46156,54857.56891197266,0,Sell,54857.56891197266
45114,54857.56891197266,0,None,54857.56891197266
49618,0,1.1055981480908674,Buy,54857.56891197266
48356,0,1.1055981480908674,Buy,53462.304049081984
50478,0,1.1055981480908674,Buy,55808.38331933081
48449,0,1.1055981480908674,None,53565.12467685444
48861,54020.63111386787,0,Sell,54020.63111386787
48882,0,1.1051231765039866,Buy,54020.63111386787
51170,0,1.1051231765039866,Buy,56549.152941709
52299,57796.837007981994,0,Sell,57796.837007981994
54882,57796.837007981994,0,None,57796.837007981994
55997,57796.837007981994,0,Sell,57796.837007981994
57764,57796.837007981994,0,None,57796.837007981994
57253,57796.837007981994,0,Sell,57796.837007981994
61259,0,1.0599022917385577,Buy,64928.5544896123
59133,0,1.0599022917385577,None,62675.20221737613
55755,0,1.0599022917385577,Buy,59094.852275883284
56872,0,1.0599022917385577,Buy,60278.76313575525
58913,0,1.0599022917385577,None,62442.023713193645
57666,0,1.0599022917385577,None,61120.32555539566
58075,0,1.0599022917385577,Buy,61553.825592716734
58086,0,1.0599022917385577,Buy,61565.48451792586
57411,0,1.0599022917385577,None,60850.05047100233
54205,0,1.0599022917385577,None,57452.00372368852
54477,0,1.0599022917385577,None,57740.297147041405
52508,0,1.0599022917385577,None,55653.34953460818
51416,0,1.0599022917385577,Buy,54495.93623202968
55074,0,1.0599022917385577,None,58373.058815209326
55864,59210.381625682785,0,Sell,59210.381625682785
55784,59210.381625682785,0,None,59210.381625682785
57628,59210.381625682785,0,Sell,59210.381625682785
58730,59210.381625682785,0,None,59210.381625682785
58735,59210.381625682785,0,None,59210.381625682785
58737,59210.381625682785,0,Sell,59210.381625682785
59031,59210.381625682785,0,Sell,59210.381625682785
57076,59210.381625682785,0,None,59210.381625682785
58207,59210.381625682785,0,None,59210.381625682785
59054,59210.381625682785,0,Sell,59210.381625682785
58020,0,1.0205167463923266,Buy,59210.38162568279
55947,0,1.0205167463923266,None,57094.8504104115
58049,0,1.0205167463923266,None,59239.976611328166
58103,59295.08451563335,0,Sell,59295.08451563335
59774,59295.08451563335,0,None,59295.08451563335
59965,59295.08451563335,0,Sell,59295.08451563335
59835,59295.08451563335,0,None,59295.08451563335
63554,59295.08451563335,0,Sell,59295.08451563335
62969,0,1.0619598658873317,Buy,66870.55079505939
63253,0,1.0619598658873317,None,67172.1473969714
61456,0,1.0619598658873317,None,65263.80551797186
60087,63809.9824615721,0,Sell,63809.9824615721
56251,0,1.134379521458678,Buy,63809.9824615721
55703,0,1.134379521458678,Buy,63188.34248381274
56508,64101.517998586976,0,Sell,64101.517998586976
53809,0,1.1912787451650648,Buy,64101.517998586976
51732,61627.232044879136,0,Sell,61627.232044879136
51153,61627.232044879136,0,Sell,61627.232044879136
50111,61627.232044879136,0,None,61627.232044879136
49076,61627.232044879136,0,None,61627.232044879136
54057,61627.232044879136,0,None,61627.232044879136
