Trained,Price,TextBlobPol,VaderPol,DictPol,TecAction,Best,Worst
0,9285,-1,-1,0,1,1,-1
1,9692,-1,0,0,1,-1,1
-1,9621,1,1,0,1,-1,1
0,9277,-1,0,0,1,-1,1
1,9241,-1,0,1,-1,-1,1
0,9154,-1,0,0,1,-1,1
1,9004,-1,-1,0,1,1,-1
-1,9127,-1,0,0,1,1,-1
1,9185,1,0,0,1,-1,1
0,9134,-1,-1,0,1,1,-1
1,9236,-1,0,0,1,-1,1
0,9088,-1,0,0,1,-1,1
0,9072,-1,0,0,1,1,-1
1,9131,-1,1,0,1,-1,1
0,9089,-1,-1,0,1,1,-1
1,9349,-1,0,0,-1,-1,1
-1,9256,-1,-1,0,1,1,-1
0,9440,1,1,0,1,-1,1
1,9238,-1,0,0,0,1,-1
1,9287,-1,-1,0,1,-1,1
1,9236,-1,1,1,-1,1,-1
0,9296,-1,-1,0,1,-1,1
1,9238,-1,-1,1,-1,1,-1
-1,9255,1,-1,-1,-1,-1,1
0,9194,-1,0,-1,1,-1,1
-1,9131,-1,0,0,1,1,-1
-1,9154,-1,0,0,1,1,-1
-1,9175,-1,-1,-1,1,1,-1
-1,9215,-1,0,-1,1,-1,1
-1,9164,-1,1,0,1,1,-1
1,9393,-1,0,0,1,1,-1
-1,9537,-1,-1,-1,-1,1,-1
-1,9613,-1,-1,0,1,-1,1
0,9551,1,0,0,1,1,-1
1,9708,-1,0,0,1,1,-1
1,9939,-1,0,0,1,-1,1
1,11042,-1,0,0,1,-1,1
1,10935,-1,0,0,1,1,-1
1,11103,-1,0,0,1,1,-1
1,11115,-1,-1,-1,1,1,-1
1,11344,-1,0,0,-1,1,-1
0,11824,-1,0,0,1,-1,1
-1,11078,-1,-1,0,1,1,-1
-1,11243,-1,0,0,1,-1,1
0,11194,-1,0,0,1,1,-1
1,11750,1,1,0,1,1,-1
0,11773,-1,0,0,0,-1,1
-1,11606,-1,0,-1,1,1,-1
0,11768,-1,0,0,1,-1,1
1,11684,1,1,0,1,1,-1
1,11893,-1,1,0,1,-1,1
1,11392,-1,0,0,-1,1,-1
1,11573,-1,0,0,1,1,-1
1,11777,-1,0,1,-1,-1,1
0,11774,1,0,0,1,1,-1
0,11874,-1,1,0,-1,1,-1
1,11914,-1,0,0,1,1,-1
1,12294,1,0,0,-1,-1,1
1,11970,-1,0,0,1,-1,1
1,11734,-1,-1,0,1,1,-1
1,11866,1,1,0,-1,-1,1
-1,11523,-1,1,0,1,1,-1
0,11683,-1,-1,0,1,-1,1
1,11653,-1,0,0,1,1,-1
-1,11764,-1,0,-1,1,-1,1
0,11337,-1,0,0,-1,1,-1
1,11467,1,1,0,1,-1,1
1,11302,-1,0,0,1,1,-1
0,11535,-1,0,0,1,-1,1
1,11482,-1,0,0,1,1,-1
0,11708,-1,0,0,1,-1,1
1,11660,-1,1,1,1,1,-1
1,11923,-1,1,1,1,-1,1
-1,11397,-1,0,0,1,-1,1
-1,10188,-1,-1,1,1,1,-1
1,10468,-1,0,0,1,-1,1
-1,10160,-1,0,0,1,1,-1
1,10255,-1,0,0,-1,1,-1
1,10368,1,0,0,1,-1,1
1,10122,-1,0,0,1,1,-1
-1,10228,-1,-1,-1,1,1,-1
1,10353,-1,0,0,1,1,-1
0,10395,-1,-1,-1,1,1,-1
1,10446,1,1,0,0,-1,1
1,10331,-1,0,1,-1,1,-1
1,10675,-1,0,0,1,1,-1
1,10786,-1,0,0,-1,1,-1
1,10948,-1,0,0,1,-1,1
1,10944,-1,1,0,1,-1,1
1,10932,-1,1,-1,1,1,-1
1,11081,-1,0,0,1,-1,1
1,10920,-1,0,0,1,-1,1
0,10430,-1,-1,0,1,1,-1
1,10532,-1,1,0,1,-1,1
1,10234,-1,0,0,1,1,-1
1,10732,-1,0,0,1,-1,1
-1,10693,-1,-1,0,1,1,-1
1,10732,-1,1,0,1,1,-1
1,10774,-1,0,0,-1,-1,1
1,10692,-1,0,0,1,1,-1
1,10841,-1,0,0,0,-1,1
-1,10778,-1,0,0,-1,-1,1
-1,10619,-1,1,0,1,-1,1
1,10575,1,-1,0,1,-1,1
1,10552,1,1,0,1,1,-1
-1,10673,-1,-1,0,1,1,-1
-1,10789,-1,0,-1,-1,-1,1
-1,10604,-1,1,1,1,1,-1
-1,10671,-1,-1,0,1,1,-1
0,10923,-1,0,-1,1,1,-1
-1,11063,-1,0,0,1,1,-1
1,11303,-1,-1,0,-1,1,-1
1,11377,-1,1,0,1,1,-1
1,11540,-1,0,-1,1,-1,1
-1,11428,-1,0,-1,1,1,-1
1,11431,-1,0,0,1,1,-1
1,11504,-1,0,0,1,-1,1
-1,11328,-1,-1,0,1,1,-1
1,11367,-1,0,0,1,1,-1
1,11508,-1,1,0,1,1,-1
-1,11758,-1,0,0,1,1,-1
1,11925,-1,0,0,1,1,-1
0,12832,-1,0,0,0,1,-1
-1,12990,-1,-1,0,1,-1,1
1,12945,-1,1,0,1,1,-1
0,13128,-1,0,0,1,-1,1
0,13037,-1,0,0,1,1,-1
1,13076,-1,1,0,1,1,-1
1,13651,-1,0,0,1,-1,1
1,13289,1,1,0,1,1,-1
1,13459,-1,1,0,1,1,-1
1,13565,-1,0,0,1,1,-1
0,13810,-1,1,0,1,-1,1
0,13759,-1,1,0,1,-1,1
1,13575,-1,0,0,1,1,-1
-1,14023,-1,0,0,1,1,-1
-1,14156,-1,0,-1,1,1,-1
0,15591,-1,0,0,1,1,-1
0,15596,-1,0,0,1,-1,1
0,14840,-1,0,0,1,1,-1
1,15491,-1,0,0,1,-1,1
0,15329,-1,0,0,1,-1,1
0,15317,-1,-1,0,1,1,-1
1,15709,1,1,1,1,1,-1
0,16296,-1,-1,0,1,1,-1
1,16339,-1,0,0,1,-1,1
1,16091,-1,1,0,1,-1,1
1,15968,-1,0,0,1,1,-1
1,16725,-1,-1,1,1,1,-1
0,17680,-1,1,0,1,1,-1
1,17798,-1,0,0,-1,1,-1
1,17821,-1,0,0,-1,1,-1
1,18687,-1,1,1,-1,1,-1
0,18700,-1,0,0,-1,-1,1
-1,18422,-1,0,-1,1,-1,1
1,18399,-1,0,1,1,1,-1
1,19173,1,0,0,1,-1,1
1,18740,-1,-1,-1,-1,-1,1
-1,17151,-1,0,0,1,-1,1
-1,17139,-1,-1,-1,-1,1,-1
1,17732,-1,1,0,-1,1,-1
1,18192,-1,0,1,-1,1,-1
0,19710,-1,0,0,-1,-1,1
-1,18793,-1,0,-1,-1,1,-1
0,19227,1,1,0,1,1,-1
1,19455,1,1,0,1,-1,1
0,18670,-1,1,1,-1,1,-1
1,19155,-1,1,0,1,1,-1
1,19378,-1,0,0,1,-1,1
-1,19181,-1,1,0,0,-1,1
0,18319,-1,-1,0,1,1,-1
1,18554,-1,0,1,-1,-1,1
0,18248,-1,0,0,0,-1,1
0,18029,1,1,-1,1,1,-1
0,18803,-1,-1,0,-1,1,-1
1,19164,-1,0,0,-1,1,-1
1,19277,1,1,0,1,1,-1
0,19440,1,1,-1,1,1,-1
1,21379,-1,1,1,1,1,-1
1,22847,-1,0,1,-1,1,-1
0,23151,-1,0,1,1,1,-1
1,23870,-1,1,0,1,-1,1
1,23491,1,0,0,-1,-1,1
-1,22745,1,-1,0,-1,1,-1
-1,23825,-1,-1,0,-1,-1,1
1,23253,-1,1,0,1,1,-1
1,23716,1,1,0,-1,1,-1
1,24694,1,1,1,1,1,-1
1,26443,-1,1,0,1,-1,1
0,26247,-1,0,0,1,1,-1
1,27037,-1,-1,1,-1,1,-1
-1,27376,-1,0,0,1,1,-1
1,28857,-1,0,1,-1,1,-1
1,28983,-1,0,1,-1,1,-1
1,29394,-1,0,1,1,1,-1
1,32195,-1,0,0,-1,1,-1
1,33001,-1,1,0,1,-1,1
-1,32035,-1,1,-1,-1,1,-1
1,34047,-1,0,0,1,1,-1
1,36860,-1,0,1,1,1,-1
1,39486,1,1,0,1,1,-1
0,40670,-1,0,0,1,-1,1
1,40241,-1,0,0,1,-1,1
0,38240,-1,0,-1,-1,-1,1
1,35545,-1,0,0,1,-1,1
0,34012,-1,-1,0,-1,1,-1
1,37393,-1,0,0,1,1,-1
1,39158,-1,-1,-1,1,-1,1
1,36829,1,1,0,1,-1,1
1,36065,-1,1,0,-1,-1,1
0,35793,-1,-1,0,1,1,-1
1,36632,-1,-1,1,1,-1,1
-1,36020,-1,-1,-1,-1,-1,1
-1,35539,-1,1,0,1,-1,1
-1,30798,1,0,0,-1,1,-1
0,33002,-1,1,0,-1,-1,1
-1,32100,-1,-1,0,1,1,-1
1,32277,-1,1,0,1,-1,1
1,32243,-1,0,1,-1,1,-1
1,32542,-1,0,0,0,-1,1
-1,30419,-1,-1,0,1,1,-1
0,33403,1,0,0,1,1,-1
1,34314,-1,-1,0,1,1,-1
-1,34318,-1,-1,-1,1,-1,1
0,33136,-1,-1,0,1,1,-1
1,33523,1,1,0,1,1,-1
0,35530,-1,0,0,1,1,-1
1,37676,-1,0,1,1,-1,1
1,37002,-1,0,1,-1,1,-1
0,38279,-1,0,0,-1,1,-1
0,39323,-1,0,0,0,-1,1
-1,38928,-1,-1,0,-1,1,-1
1,46364,-1,1,0,-1,1,-1
1,46590,-1,0,0,1,-1,1
0,44878,-1,-1,0,1,1,-1
1,48013,-1,1,0,1,-1,1
1,47471,-1,0,0,0,-1,1
1,47185,-1,-1,0,1,1,-1
1,48720,-1,0,1,1,-1,1
1,47952,-1,0,0,1,1,-1
1,49160,-1,-1,1,-1,1,-1
1,52118,-1,0,0,1,-1,1
0,51608,-1,0,0,0,1,-1
1,55917,-1,-1,0,1,1,-1
1,56001,1,-1,1,1,1,-1
1,57488,1,1,1,0,-1,1
0,54123,1,-1,0,1,-1,1
-1,48880,-1,0,0,1,1,-1
-1,50625,-1,-1,0,1,-1,1
0,46800,1,1,0,1,-1,1
0,46340,-1,-1,0,-1,-1,1
0,46156,-1,0,0,1,-1,1
-1,45114,-1,-1,1,0,1,-1
1,49618,1,1,1,1,-1,1
-1,48356,-1,0,0,1,1,-1
1,50478,-1,0,0,1,-1,1
1,48449,-1,0,0,1,1,-1
1,48861,-1,0,0,1,1,-1
0,48882,-1,1,0,1,1,-1
1,51170,-1,0,0,1,1,-1
0,52299,-1,0,0,1,1,-1
1,54882,1,0,0,1,1,-1
1,55997,-1,-1,0,1,1,-1
-1,57764,-1,-1,0,0,-1,1
0,57253,-1,1,0,1,1,-1
1,61259,-1,0,1,1,-1,1
-1,59133,-1,-1,0,1,-1,1
0,55755,-1,-1,-1,1,1,-1
1,56872,1,1,0,1,1,-1
1,58913,1,1,0,1,-1,1
-1,57666,-1,-1,0,1,1,-1
0,58075,-1,0,0,1,1,-1
-1,58086,-1,0,0,1,-1,1
0,57411,1,1,0,1,-1,1
-1,54205,-1,-1,-1,1,1,-1
1,54477,-1,1,1,1,-1,1
0,52508,-1,0,0,0,-1,1
-1,51416,-1,-1,0,1,1,-1
-1,55074,-1,-1,0,-1,1,-1
0,55864,-1,0,0,1,-1,1
0,55784,1,1,1,1,1,-1
1,57628,-1,0,0,-1,1,-1
0,58730,-1,0,0,-1,1,-1
1,58735,-1,0,0,-1,1,-1
1,58737,1,0,1,-1,1,-1
0,59031,-1,0,0,1,-1,1
1,57076,1,0,0,1,1,-1
1,58207,-1,0,1,1,1,-1
1,59054,-1,0,0,1,-1,1
0,58020,-1,0,0,-1,-1,1
1,55947,1,0,0,1,1,-1
1,58049,-1,0,0,1,1,-1
0,58103,-1,1,0,1,1,-1
1,59774,-1,0,1,1,1,-1
1,59965,-1,0,0,1,-1,1
1,59835,-1,0,0,1,1,-1
1,63554,-1,1,0,-1,-1,1
0,62969,-1,-1,0,1,1,-1
-1,63253,-1,0,-1,1,-1,1
1,61456,1,0,0,-1,-1,1
-1,60087,-1,0,0,1,-1,1
1,56251,-1,-1,0,1,-1,1
1,55703,-1,0,0,1,1,-1
0,56508,1,1,0,1,-1,1
1,53809,-1,1,0,1,-1,1
-1,51732,-1,0,0,1,-1,1
1,51153,-1,-1,0,1,-1,1
-1,50111,-1,-1,-1,1,-1,1
-1,49076,-1,1,0,1,1,-1
1,54057,1,1,0,1,1,-1
-1,55071,-1,-1,0,1,-1,1
1,54884,-1,0,0,0,-1,1
