,date,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
49,2022-06-07 01:55:24,shaolintrader88,,,21,703,93513,0,#BTC   out BE on residual long... unbelievable lol...just when i thought i survived...not worth the time,['BTC']
50,2022-06-07 01:55:23,jangjin20158342,Crypto trader blogger technical analysis 블로거 소액코린이,seoul Korea,318,83,1358,5,$BTC 29.4k bears doing damage https://t.co/i3QYi1oSxz,[]
51,2022-06-07 01:55:23,YummyJiang,"Come here for cook and trade ideas.
#ES_F  #MES_F  $SPY  $SPX",Canada,1080,257,10909,2,Breaking News: US Regulators Investigating Binance’s BNB Token $spy $btc $qqq $amzn https://t.co/h3fnbncegP,[]
52,2022-06-07 01:55:23,_JenNotJenn,T1 Diabetic/Hockey Enthusiast/Bravo Obsessed CA$JenShortt23 M$babsshartt PP@babsshartt #TeamGross #TXFam #Crumblings #TeamStacks #TeamAngel,"Middle of Nowhere, MO",553,5892,22233,6078,"I will send $3,000 to someone that retweets and has followed myself ( @OfficialTravlad ) and @MuuInuOfficial in the next 24hrs with both notifications on. #BNB #BSC #BTC #ETH #USDT #Crypto #MuuInu",[]
53,2022-06-07 01:55:21,AmakusaAri01,"01 november

ARMY 💜
#Ariproof

#AP8testi 

one and only account🙏🏻🙏🏻🙏🏻",Indonesia,4988,2084,230174,6078,"I will send $3,000 to someone that retweets and has followed myself ( @OfficialTravlad ) and @MuuInuOfficial in the next 24hrs with both notifications on. #BNB #BSC #BTC #ETH #USDT #Crypto #MuuInu",[]
54,2022-06-07 01:55:20,NatalDormer,"Pro Trader, Crypto enthusiast. Crypto Portfolio Manager, Ask to join here: https://t.co/2tJxB8H8f9",,98,5835,36223,0,"SIGNAL FOR #CTK COIN:

This is a strong signal: 

Purchase it under 2586

Target1: 2592 Target2: 2630 Target3: 2668

You can see how it is going so up!

#BTC #Bitcoin #Crypto #BTC #биткойн #比特币 #비트코인

To Join Our PREMIUM SIGNALS channel NOW, PM ME! https://t.co/gYutsKNxAo","['CTK', 'BTC', 'Bitcoin', 'Crypto', 'BTC', 'биткойн', '比特币', '비트코인']"
55,2022-06-07 01:55:20,mie_goreeng,Everyday is a second chance,🌏,3765,77,35970,6078,"I will send $3,000 to someone that retweets and has followed myself ( @OfficialTravlad ) and @MuuInuOfficial in the next 24hrs with both notifications on. #BNB #BSC #BTC #ETH #USDT #Crypto #MuuInu",[]
56,2022-06-07 01:55:19,BosskuJD,"Our philosophy, You help me, I help you!
Aims is to unlock life-changing opportunities and connecting think tank communities one step at a time!👣 @bossku_dao",Bossku Home,4,6,7,0,"ETH chart update from last week currently profit in 9%.
#ETH #BTC #TRADECALL https://t.co/GF0mIwlGPj","['ETH', 'BTC', 'TRADECALL']"
57,2022-06-07 01:55:18,SidTrader_,Stocks and crypto Trader. Options Gambler. Follow for daily market updates and entertainment,,235,55,1492,5,$BTC 29.4k bears doing damage https://t.co/i3QYi1oSxz,[]
58,2022-06-07 01:55:18,Kiran_missnava_,#NavaNation  #LegitFAM    6️⃣5️⃣🎹 #CutieBabers #HottieBabers #FurrFam   #SobatGarangan,Mumbai ,1156,295,35661,6078,"I will send $3,000 to someone that retweets and has followed myself ( @OfficialTravlad ) and @MuuInuOfficial in the next 24hrs with both notifications on. #BNB #BSC #BTC #ETH #USDT #Crypto #MuuInu",[]
59,2022-06-07 01:55:17,DianiRahmania,,,107,91,239,0,BTC. D printing,[]
60,2022-06-07 01:55:17,AstroWhale21,Whale Watcher | Testing in Prod,Floating Around Space,1,537,85168,0,"🔴 Binance BTCUSDT - 58.51 $BTC valued at $1,714,241",[]
61,2022-06-07 01:55:17,AstroWhale21,Whale Watcher | Testing in Prod,Floating Around Space,1,537,85168,0,"🔴 Binance BTCUSDT - 11.67 $BTC valued at $341,818",[]
62,2022-06-07 01:55:17,AstroWhale21,Whale Watcher | Testing in Prod,Floating Around Space,1,537,85168,0,"🔴 Binance BTCUSDT - 17.22 $BTC valued at $504,663",[]
63,2022-06-07 01:55:17,AstroWhale21,Whale Watcher | Testing in Prod,Floating Around Space,1,537,85168,0,"🔴 Binance BTCUSDT - 15.35 $BTC valued at $449,747",[]
64,2022-06-07 01:55:17,AstroWhale21,Whale Watcher | Testing in Prod,Floating Around Space,1,537,85168,0,"🔴 Binance BTCUSDT - 32.06 $BTC valued at $939,241",[]
65,2022-06-07 01:55:17,DHuddles,,,6,0,3,0,"Let me give you a little secret.... Deposit coins are 100% profitable than NFT coins you purchase,reason that you can get  a BITCOIN (BTC) at a rate of $3000 and you can then trade your coins at normal valued BTC price.. Tip. https://t.co/NCGIZ3WR2Y",[]
66,2022-06-07 01:55:16,Andika7877,Qwerty,Indonesia,305,15,952,6078,"I will send $3,000 to someone that retweets and has followed myself ( @OfficialTravlad ) and @MuuInuOfficial in the next 24hrs with both notifications on. #BNB #BSC #BTC #ETH #USDT #Crypto #MuuInu",[]
67,2022-06-07 01:55:16,mycrush011,"You Know Who i Am 😎

Expect Nothing But 
 Appreciate Everything 👍",,867,19,1743,6078,"I will send $3,000 to someone that retweets and has followed myself ( @OfficialTravlad ) and @MuuInuOfficial in the next 24hrs with both notifications on. #BNB #BSC #BTC #ETH #USDT #Crypto #MuuInu",[]
