Date,Open,Volume,Market Cap
"Dec 29, 2021","$47,623.87","$30,049,226,299","$878,478,755,242"
"Dec 28, 2021","$50,679.86","$33,430,376,883","$900,076,230,597"
"Dec 27, 2021","$50,802.61","$24,324,345,758","$957,746,390,396"
"Dec 26, 2021","$50,428.69","$20,964,372,926","$960,899,995,735"
"Dec 25, 2021","$50,854.92","$19,030,650,914","$953,678,082,633"
"Dec 24, 2021","$50,806.05","$24,367,912,228","$961,051,547,919"
"Dec 23, 2021","$48,626.34","$28,223,878,108","$960,290,825,000"
"Dec 22, 2021","$48,937.10","$24,447,979,559","$919,476,035,254"
"Dec 21, 2021","$46,886.08","$27,055,803,928","$925,255,868,119"
"Dec 20, 2021","$46,707.06","$30,961,902,129","$886,331,446,165"
"Dec 19, 2021","$46,853.87","$25,154,053,861","$883,011,296,030"
"Dec 18, 2021","$46,219.26","$26,098,292,690","$885,650,029,984"
"Dec 17, 2021","$47,653.73","$32,902,725,329","$873,389,147,689"
"Dec 16, 2021","$48,900.46","$27,268,150,947","$901,005,821,508"
"Dec 15, 2021","$48,379.75","$36,541,828,520","$924,244,252,417"
"Dec 14, 2021","$46,709.82","$34,638,619,079","$881,018,067,731"
"Dec 13, 2021","$50,114.74","$32,166,727,776","$883,345,705,454"
"Dec 12, 2021","$49,354.85","$21,939,223,599","$946,823,114,555"
"Dec 11, 2021","$47,264.63","$25,775,869,261","$932,873,019,896"
"Dec 10, 2021","$47,642.14","$30,966,005,122","$892,777,676,312"
"Dec 09, 2021","$50,450.08","$29,603,577,251","$900,835,068,960"
"Dec 08, 2021","$50,667.65","$28,479,699,446","$954,312,404,511"
"Dec 07, 2021","$50,581.83","$33,676,814,852","$957,948,940,989"
"Dec 06, 2021","$49,413.48","$37,707,308,001","$955,680,910,792"
"Dec 05, 2021","$49,201.52","$37,198,201,161","$932,695,365,142"
"Dec 04, 2021","$53,727.88","$61,385,677,469","$929,467,386,770"
"Dec 03, 2021","$56,509.17","$39,789,134,215","$1,012,490,599,979"
"Dec 02, 2021","$57,217.37","$32,379,968,686","$1,066,829,261,574"
"Dec 01, 2021","$56,907.97","$36,858,195,307","$1,080,977,744,339"
"Nov 30, 2021","$57,830.11","$36,708,594,618","$1,076,689,232,562"
"Nov 29, 2021","$57,291.90","$32,370,840,356","$1,091,773,828,974"
