,Date,Price,Open,High,Low,Vol.,Change %
142,1642291200.0,"43,079.1","43,079.2","43,462.0","42,643.3",28.66K,-0.04%
143,1642204800.0,"43,097.0","43,073.6","43,777.9","42,586.1",31.44K,0.06%
144,1642118400.0,"43,073.3","42,562.2","43,435.1","41,848.7",50.50K,1.21%
145,1642032000.0,"42,560.0","43,900.0","44,404.7","42,337.5",53.42K,-3.05%
146,1641945600.0,"43,901.0","42,735.0","44,243.6","42,476.7",53.95K,2.73%
147,1641859200.0,"42,733.2","41,829.1","43,090.2","41,287.6",61.78K,2.15%
148,1641772800.0,"41,832.2","41,848.9","42,243.8","39,697.0",85.50K,-0.04%
149,1641686400.0,"41,848.3","41,681.2","42,764.4","41,260.9",37.51K,0.42%
150,1641600000.0,"41,672.0","41,551.3","42,304.4","40,574.3",52.54K,0.30%
151,1641513600.0,"41,546.7","43,097.9","43,127.7","40,810.0",88.36K,-3.60%
152,1641427200.0,"43,097.5","43,431.6","43,772.3","42,481.1",63.08K,-0.76%
153,1641340800.0,"43,425.9","45,833.1","47,019.4","42,535.1",83.74K,-5.26%
154,1641254400.0,"45,837.3","46,435.7","47,505.4","45,602.1",55.59K,-1.28%
155,1641168000.0,"46,430.2","47,293.9","47,556.0","45,704.0",41.06K,-1.86%
156,1641081600.0,"47,311.8","47,738.7","47,944.9","46,718.2",27.02K,-0.89%
157,1640995200.0,"47,738.0","46,217.5","47,917.6","46,217.5",31.24K,3.29%
158,1640908800.0,"46,219.5","47,123.3","48,553.9","45,693.6",58.18K,-1.92%
159,1640822400.0,"47,123.3","46,470.7","47,901.4","46,003.0",60.96K,1.42%
160,1640736000.0,"46,461.7","47,548.4","48,121.7","46,127.8",63.92K,-2.28%
161,1640649600.0,"47,545.2","50,703.4","50,703.8","47,345.7",74.39K,-6.18%
162,1640563200.0,"50,678.2","50,783.6","52,016.3","50,459.0",43.90K,-0.20%
163,1640476800.0,"50,779.9","50,404.0","51,247.0","49,527.0",32.34K,0.74%
164,1640390400.0,"50,406.4","50,789.6","51,140.2","50,196.8",26.67K,-0.75%
165,1640304000.0,"50,786.1","50,807.4","51,795.3","50,428.4",45.97K,-0.03%
166,1640217600.0,"50,801.0","48,599.6","51,355.6","48,053.4",56.24K,4.53%
167,1640131200.0,"48,599.7","48,898.7","49,540.3","48,449.7",40.89K,-0.62%
168,1640044800.0,"48,902.0","46,900.1","49,306.1","46,654.0",57.88K,4.28%
169,1639958400.0,"46,895.2","46,703.4","47,488.9","45,577.3",57.53K,0.41%
170,1639872000.0,"46,704.5","46,855.7","48,270.2","46,438.4",44.05K,-0.32%
171,1639785600.0,"46,856.2","46,171.8","47,330.2","45,513.4",36.93K,1.48%
172,1639699200.0,"46,172.2","47,630.4","47,997.2","45,523.8",67.50K,-3.06%
173,1639612800.0,"47,628.2","48,876.6","49,387.8","47,543.9",48.20K,-2.54%
174,1639526400.0,"48,871.5","48,366.2","49,477.9","46,572.6",80.28K,1.04%
175,1639440000.0,"48,366.5","46,709.8","48,635.0","46,338.3",62.54K,3.56%
176,1639353600.0,"46,703.6","50,075.9","50,196.1","45,848.2",80.37K,-6.74%
177,1639267200.0,"50,081.0","49,332.5","50,779.2","48,670.5",40.30K,1.55%
178,1639180800.0,"49,314.5","47,138.4","49,487.0","46,834.0",45.23K,4.62%
179,1639094400.0,"47,137.2","47,591.7","49,974.8","47,007.1",68.06K,-0.97%
180,1639008000.0,"47,596.6","50,477.6","50,790.2","47,341.9",58.69K,-5.70%
181,1638921600.0,"50,473.9","50,596.6","51,204.7","48,700.7",55.59K,-0.24%
182,1638835200.0,"50,595.2","50,547.4","51,918.6","50,070.9",56.29K,0.07%
183,1638748800.0,"50,562.1","49,412.1","50,913.3","47,237.9",89.68K,2.34%
184,1638662400.0,"49,405.5","49,196.4","49,689.3","47,797.8",72.03K,0.43%
185,1638576000.0,"49,195.2","53,620.7","53,847.2","42,587.8",168.00K,-8.27%
186,1638489600.0,"53,631.5","56,495.2","57,543.6","52,008.9",89.20K,-5.07%
187,1638403200.0,"56,496.0","57,207.8","57,377.5","55,807.9",54.94K,-1.25%
188,1638316800.0,"57,210.3","56,891.7","59,064.3","56,496.5",66.75K,0.58%
