price,balance,btc,action,netBalance
33002,0,1.1304007112576628,None,37305.48427292539
32100,0,1.1304007112576628,None,36285.86283137098
32277,0,1.1304007112576628,Buy,36485.94375726359
32243,0,1.1304007112576628,None,36447.510133080825
32542,0,1.1304007112576628,Buy,36785.499945746866
30419,0,1.1304007112576628,Buy,34385.65923574685
33403,0,1.1304007112576628,Buy,37758.774958139715
34314,0,1.1304007112576628,Buy,38788.57000609544
34318,0,1.1304007112576628,Buy,38793.09160894047
33136,0,1.1304007112576628,None,37456.95796823392
33523,0,1.1304007112576628,Buy,37894.423043490635
35530,0,1.1304007112576628,Buy,40163.137270984764
37676,0,1.1304007112576628,Buy,42588.9771973437
37002,41827.08711795604,0,Sell,41827.08711795604
38279,41827.08711795604,0,Sell,41827.08711795604
39323,41827.08711795604,0,Sell,41827.08711795604
38928,41827.08711795604,0,Sell,41827.08711795604
46364,41827.08711795604,0,Sell,41827.08711795604
46590,41827.08711795604,0,None,41827.08711795604
44878,0,1.0729410793881036,Buy,48151.44976077931
48013,0,1.0729410793881036,Buy,51515.12004466102
47471,0,1.0729410793881036,None,50933.58597963266
47185,0,1.0729410793881036,None,50626.72483092767
48720,0,1.0729410793881036,Buy,52273.68938778841
47952,0,1.0729410793881036,Buy,51449.670638818345
49160,52745.78346271917,0,Sell,52745.78346271917
52118,0,1.0120454250492952,Buy,52745.78346271917
51608,52229.640295944024,0,Sell,52229.640295944024
55917,0,1.0705989871491097,Buy,59864.683564416766
