Date,Open
"Apr 25, 2021","$50,052.83"
"Apr 24, 2021","$51,143.23"
"Apr 23, 2021","$51,739.81"
"Apr 22, 2021","$53,857.11"
"Apr 21, 2021","$56,471.13"
"Apr 20, 2021","$55,681.79"
"Apr 19, 2021","$56,191.58"
"Apr 18, 2021","$60,701.89"
"Apr 17, 2021","$61,529.92"
"Apr 16, 2021","$63,258.51"
"Apr 15, 2021","$63,075.20"
"Apr 14, 2021","$63,523.75"
"Apr 13, 2021","$59,890.02"
"Apr 12, 2021","$60,175.94"
"Apr 11, 2021","$59,846.23"
"Apr 10, 2021","$58,253.78"
"Apr 09, 2021","$58,326.56"
"Apr 08, 2021","$56,099.91"
"Apr 07, 2021","$58,186.51"
"Apr 06, 2021","$59,171.93"
"Apr 05, 2021","$58,760.87"
"Apr 04, 2021","$57,604.84"
"Apr 03, 2021","$59,397.41"
"Apr 02, 2021","$59,098.88"
"Apr 01, 2021","$58,926.56"
"Mar 31, 2021","$58,930.28"
"Mar 30, 2021","$57,750.13"
"Mar 29, 2021","$55,947.90"
"Mar 28, 2021","$55,974.94"
"Mar 27, 2021","$55,137.57"
"Mar 26, 2021","$51,683.01"
"Mar 25, 2021","$52,726.75"
"Mar 24, 2021","$54,710.49"
"Mar 23, 2021","$54,511.66"
"Mar 22, 2021","$57,517.89"
"Mar 21, 2021","$58,309.91"
"Mar 20, 2021","$58,332.26"
"Mar 19, 2021","$57,850.44"
"Mar 18, 2021","$58,893.08"
"Mar 17, 2021","$56,825.83"
"Mar 16, 2021","$55,840.79"
"Mar 15, 2021","$59,267.43"
"Mar 14, 2021","$61,221.13"
"Mar 13, 2021","$57,343.37"
"Mar 12, 2021","$57,821.22"
"Mar 11, 2021","$55,963.18"
"Mar 10, 2021","$54,824.01"
"Mar 09, 2021","$52,272.97"
"Mar 08, 2021","$51,174.12"
"Mar 07, 2021","$48,918.68"
"Mar 06, 2021","$48,899.23"
"Mar 05, 2021","$48,527.03"
"Mar 04, 2021","$50,522.31"
"Mar 03, 2021","$48,415.81"
"Mar 02, 2021","$49,612.11"
"Mar 01, 2021","$45,159.50"
"Feb 28, 2021","$46,194.02"
"Feb 27, 2021","$46,344.77"
"Feb 26, 2021","$47,180.46"
"Feb 25, 2021","$49,709.08"
"Feb 24, 2021","$48,835.09"
"Feb 23, 2021","$54,204.93"
"Feb 22, 2021","$57,532.74"
"Feb 21, 2021","$56,068.57"
"Feb 20, 2021","$55,887.34"
"Feb 19, 2021","$51,675.98"
"Feb 18, 2021","$52,140.97"
"Feb 17, 2021","$49,207.28"
"Feb 16, 2021","$47,944.46"
"Feb 15, 2021","$48,696.54"
"Feb 14, 2021","$47,114.51"
"Feb 13, 2021","$47,491.20"
"Feb 12, 2021","$47,877.03"
"Feb 11, 2021","$44,898.71"
"Feb 10, 2021","$46,469.76"
"Feb 09, 2021","$46,184.99"
"Feb 08, 2021","$38,886.83"
"Feb 07, 2021","$39,250.19"
"Feb 06, 2021","$38,138.39"
"Feb 05, 2021","$36,931.55"
"Feb 04, 2021","$37,475.10"
"Feb 03, 2021","$35,510.82"
"Feb 02, 2021","$33,533.20"
"Feb 01, 2021","$33,114.58"
"Jan 31, 2021","$34,270.88"
"Jan 30, 2021","$34,295.94"
"Jan 29, 2021","$34,318.67"
"Jan 28, 2021","$30,441.04"
"Jan 27, 2021","$32,564.03"
"Jan 26, 2021","$32,358.61"
"Jan 25, 2021","$32,285.80"
"Jan 24, 2021","$32,064.38"
"Jan 23, 2021","$32,985.76"
"Jan 22, 2021","$30,817.63"
"Jan 21, 2021","$35,549.40"
"Jan 20, 2021","$36,050.11"
"Jan 19, 2021","$36,642.23"
"Jan 18, 2021","$35,792.24"
"Jan 17, 2021","$36,163.65"
"Jan 16, 2021","$36,821.65"
"Jan 15, 2021","$39,156.71"
"Jan 14, 2021","$37,325.11"
"Jan 13, 2021","$33,915.12"
"Jan 12, 2021","$35,516.36"
"Jan 11, 2021","$38,346.53"
"Jan 10, 2021","$40,254.22"
"Jan 09, 2021","$40,788.64"
"Jan 08, 2021","$39,381.77"
"Jan 07, 2021","$36,833.87"
"Jan 06, 2021","$34,013.61"
"Jan 05, 2021","$31,977.04"
"Jan 04, 2021","$32,810.95"
"Jan 03, 2021","$32,129.41"
"Jan 02, 2021","$29,376.46"
"Jan 01, 2021","$28,994.01"
"Dec 31, 2020","$28,841.57"
"Dec 30, 2020","$27,360.09"
"Dec 29, 2020","$27,081.81"
"Dec 28, 2020","$26,280.82"
"Dec 27, 2020","$26,439.37"
"Dec 26, 2020","$24,677.02"
"Dec 25, 2020","$23,733.57"
"Dec 24, 2020","$23,240.20"
"Dec 23, 2020","$23,781.97"
"Dec 22, 2020","$22,794.04"
"Dec 21, 2020","$23,474.46"
"Dec 20, 2020","$23,861.77"
"Dec 19, 2020","$23,132.87"
"Dec 18, 2020","$22,806.80"
"Dec 17, 2020","$21,308.35"
"Dec 16, 2020","$19,418.82"
"Dec 15, 2020","$19,246.92"
"Dec 14, 2020","$19,144.49"
"Dec 13, 2020","$18,806.77"
"Dec 12, 2020","$18,051.32"
"Dec 11, 2020","$18,263.93"
"Dec 10, 2020","$18,553.30"
"Dec 09, 2020","$18,320.88"
"Dec 08, 2020","$19,191.53"
"Dec 07, 2020","$19,343.13"
"Dec 06, 2020","$19,154.18"
"Dec 05, 2020","$18,698.39"
"Dec 04, 2020","$19,446.97"
"Dec 03, 2020","$19,205.93"
"Dec 02, 2020","$18,801.74"
"Dec 01, 2020","$19,633.77"
"Nov 30, 2020","$18,178.32"
"Nov 29, 2020","$17,719.63"
"Nov 28, 2020","$17,112.93"
"Nov 27, 2020","$17,153.91"
"Nov 26, 2020","$18,729.84"
"Nov 25, 2020","$19,104.41"
"Nov 24, 2020","$18,365.01"
"Nov 23, 2020","$18,370.02"
"Nov 22, 2020","$18,642.23"
"Nov 21, 2020","$18,621.32"
"Nov 20, 2020","$17,817.08"
"Nov 19, 2020","$17,803.86"
"Nov 18, 2020","$17,645.19"
